Date,Open,High,Low,Close,Change,Chg,Volume,VWAP,IV30,Chg2,Volume,Call,Put
7/19/2018,147,148,146.61,147.16,-0.68_,-0.50%,"3,590,614",147.35,21.7,-5.60%,"14,391",52.50%,47.50%
7/18/2018,147.02,148.19,145.76,147.84,+0.82_,0.60%,"2,908,141",147.27,23,1.90%,"12,866",52.40%,47.60%
7/17/2018,145.41,147.44,143.08,147.02,+0.06_,0.00%,"5,133,919",146.5,22.6,-0.90%,"13,761",59.80%,40.20%
7/16/2018,147.84,148.69,146.82,146.96,-0.65_,-0.40%,"3,592,057",147.45,22.8,5.50%,"16,943",50.20%,49.80%
7/13/2018,147.75,148,145.41,147.61,-0.55_,-0.40%,"3,944,776",147.11,21.6,-6.00%,"25,748",65.70%,34.30%
7/12/2018,145.8,148.7,145.8,148.16,+2.91_,2.00%,"4,680,977",147.66,23,1.90%,"32,201",66.60%,33.40%
7/11/2018,141.21,145.64,141.02,145.25,+2.80_,2.00%,"6,168,002",144.29,22.6,9.20%,"41,111",61.80%,38.20%
7/10/2018,142.3,143.51,141.51,142.45,+0.69_,0.50%,"3,643,685",142.58,20.6,-7.70%,"20,468",57.10%,42.90%
7/9/2018,142.65,142.87,139.88,141.76,+0.36_,0.30%,"5,183,128",141.09,22.4,0.60%,"19,082",61.60%,38.40%
7/6/2018,140.19,141.73,139.01,141.4,+1.63_,1.20%,"5,045,794",140.97,22.2,-10.80%,"31,204",53.90%,46.10%
7/5/2018,139.26,139.89,138.22,139.77,+1.93_,1.40%,"5,576,669",139.23,24.9,-7.20%,"16,962",37.90%,62.10%
7/3/2018,140.6,140.75,137.71,137.84,-2.59_,-1.80%,"3,164,659",138.61,26.9,5.30%,"10,742",55.30%,44.70%
7/2/2018,136.15,140.47,135.3,140.43,+4.03_,3.00%,"6,399,247",138.94,25.5,-3.40%,"22,930",57.90%,42.10%
6/29/2018,136.28,137.71,135.9,136.4,+1.28_,0.90%,"5,229,453",136.71,26.4,-1.90%,"17,933",62.30%,37.70%
6/28/2018,133.99,135.89,133.19,135.12,+1.90_,1.40%,"6,333,655",134.84,26.9,1.40%,"13,552",51.90%,48.10%
6/27/2018,136.68,137.42,133.1,133.22,-2.26_,-1.70%,"6,851,562",134.71,26.6,2.70%,"18,830",49.30%,50.70%
6/26/2018,134.76,137.17,133.82,135.48,+2.29_,1.70%,"7,043,097",135.97,25.9,0.90%,"20,768",64.70%,35.30%
6/25/2018,134.24,134.89,131.67,133.19,-1.82_,-1.30%,"6,969,788",133.02,25.6,4.80%,"28,445",44.00%,56.00%
6/22/2018,137.26,137.3,133.95,135.01,-2.87_,-2.10%,"7,567,258",135.16,24.5,1.10%,"34,315",55.90%,44.10%
6/21/2018,139.07,140.06,137.12,137.88,-1.06_,-0.80%,"3,912,774",138.29,24.2,5.70%,"17,122",65.00%,35.00%
6/20/2018,140,142.12,138.82,138.94,-0.58_,-0.40%,"5,341,369",139.95,22.9,3.80%,"43,173",75.80%,24.20%
6/19/2018,138.08,139.71,137.23,139.52,-0.28_,-0.20%,"4,833,685",138.67,22.1,2.40%,"25,313",60.10%,39.90%
6/18/2018,137.01,140.19,136.91,139.8,+1.39_,1.00%,"4,202,447",139.05,21.5,0.80%,"28,761",68.40%,31.60%
6/15/2018,138.07,138.95,136.8,138.41,0.00_,0.00%,"7,711,133",138.32,21.4,5.60%,"25,374",64.20%,35.80%
6/14/2018,137,139.75,136.89,138.41,+1.91_,1.40%,"6,494,863",138.89,20.2,-2.40%,"40,723",66.10%,33.90%
6/13/2018,136.37,137.49,135.6,136.5,+0.24_,0.20%,"5,809,264",136.68,20.7,2.10%,"46,542",68.20%,31.80%
6/12/2018,134.96,137.5,134.65,136.26,+2.28_,1.70%,"5,319,864",136.31,20.3,-3.90%,"34,090",75.00%,25.00%
6/11/2018,133.88,134.67,133.26,133.98,+0.45_,0.30%,"3,443,145",134.02,21.1,0.80%,"17,944",64.30%,35.70%
6/8/2018,131.7,133.68,130.82,133.53,+0.62_,0.50%,"3,486,585",132.95,21,-2.20%,"20,257",67.40%,32.60%
6/7/2018,135.55,135.75,130.73,132.91,-2.64_,-1.90%,"6,564,097",132.82,21.5,10.90%,"32,092",66.40%,33.60%
